Date,Value
2025-10-09,10517.719800944802
2025-10-10,10354.846488844134
2025-10-13,10495.97552606114
2025-10-14,10511.250217648412
2025-10-15,10568.728375877556
2025-10-16,10509.733912786274
2025-10-17,10536.303431026497
2025-10-20,10681.089947869577
2025-10-21,10574.404643662783
2025-10-22,10638.802437286518
2025-10-23,10736.599918215548
2025-10-24,10776.108708004238
2025-10-27,10861.200197824548
2025-10-28,10833.554989520388
2025-10-29,10973.420151979217
2025-10-30,10934.71669631746
2025-10-31,10912.133670528627
2025-11-03,10902.308297175672
2025-11-04,10791.444294254565
2025-11-05,10754.290993779712
2025-11-06,10745.648180989012
2025-11-07,10762.801648181103
2025-11-10,10846.547770975312
2025-11-11,10997.107750404404
2025-11-12,11030.172355298624
2025-11-13,10843.041927509608
2025-11-14,10885.667865249237
2025-11-17,10831.124476820993
2025-11-18,10815.811757392308
2025-11-19,10812.271716114084
2025-11-20,10733.983249681662
2025-11-21,10838.802716447572
2025-11-24,11075.11264600475
2025-11-25,11179.908474513964
2025-11-26,11221.910870669264
2025-11-28,11266.552475458448
2025-12-01,11190.253862791345
2025-12-02,11194.526416634748
2025-12-03,11339.370497125405
2025-12-04,11337.873913922418
2025-12-05,11298.894767024825
2025-12-08,11297.999947453194
2025-12-09,11274.642285669242
2025-12-10,11383.624011030743
2025-12-11,11427.840535517082
2025-12-12,11295.39410757693
2025-12-15,11262.930361478833
2025-12-16,11096.209185966649
2025-12-17,11117.155081256418
2025-12-18,11103.297332904373
2025-12-19,11019.774845798393
2025-12-22,11076.446416586039
2025-12-23,11168.124159661362
2025-12-24,11210.207735728221
2025-12-26,11212.114224657891
2025-12-29,11196.538012875328
2025-12-30,11201.248151338368
2025-12-31,11141.837656867248
2026-01-02,11315.838990583525
2026-01-05,11608.593124328156
2026-01-06,11437.136359140168
2026-01-07,11261.1746822228
2026-01-08,11350.704065926235
2026-01-09,11409.216813021316
2026-01-12,11384.781516032876
2026-01-13,11391.604127753139
2026-01-14,11423.346291934524
2026-01-15,11472.248453296612
2026-01-16,11467.972069335847
2026-01-20,11323.520861653458
2026-01-21,11467.84045670653
2026-01-22,11567.700114689702
2026-01-23,11552.519758470416
2026-01-26,11583.901691671228
2026-01-27,11152.921407604292
2026-01-28,11083.117753480665
2026-01-29,10966.157687527375
2026-01-30,11034.147835115198
2026-02-02,11030.664603561594
2026-02-03,11098.457896153293
2026-02-04,11110.98407591757
2026-02-05,11049.36072237781
2026-02-06,11072.995752120545
2026-02-09,11054.280737059284
2026-02-10,11063.06014036013
2026-02-11,11142.49462535387
2026-02-12,10991.15710253462
2026-02-13,11149.238889016433
2026-02-17,11132.572171763699
2026-02-18,11076.727397690802
2026-02-19,11113.047144040866
2026-02-20,11129.845237480946
2026-02-23,11062.50504284129
2026-02-24,11134.694671567086
2026-02-25,11204.596293848008
2026-02-26,11155.39329304913
2026-02-27,11208.824880131117
2026-03-02,11270.943182542196
2026-03-03,11244.801279481431
2026-03-04,11200.935164827904
2026-03-05,11168.738894129341
2026-03-06,11095.06441668452
2026-03-09,11044.421855758877
2026-03-10,10965.411090681882
2026-03-11,11045.835409446858
2026-03-12,10984.690766267462
2026-03-13,10954.19288965907
2026-03-16,11015.43122253948
2026-03-17,10986.944572093034
2026-03-18,10910.851660097602
2026-03-19,10964.938261302488
2026-03-20,10911.03796884628
2026-03-23,10968.144309914318
2026-03-24,11082.08234915108
2026-03-25,11123.878633088663
2026-03-26,11140.099916415402
2026-03-27,11069.762924532983
2026-03-30,11093.487896484818
2026-03-31,11265.32830010572
2026-04-01,11213.39302941634
2026-04-02,11242.330642112323
2026-04-06,11237.187937167293
2026-04-07,11571.369368759211
2026-04-08,11679.27237940274
2026-04-09,11749.219518830188
2026-04-10,11693.081457135206
2026-04-13,11744.186427460887
2026-04-14,11846.568133855251
2026-04-15,11872.54923425009
2026-04-16,11859.289800048524
2026-04-17,11856.004653324035
2026-04-20,11825.054632297453
2026-04-21,11809.819311427584
2026-04-22,11910.48148635602
2026-04-23,11969.5619178496
2026-04-24,11935.327384198627
2026-04-27,12053.881607357376
2026-04-28,12147.876584345537
2026-04-29,12110.372186792323
2026-04-30,12216.633955384008
2026-05-01,12135.85398429927
2026-05-04,12027.657747060057
2026-05-05,12163.964425726472
2026-05-06,12023.484482019425
2026-05-07,11938.212286464772
2026-05-08,11946.547211721716
2026-05-11,12015.654961512757
2026-05-12,12111.337348612471
2026-05-13,12245.767668365996
2026-05-14,12411.567805736804
2026-05-15,12294.228377035415
2026-05-18,12305.02736850508
2026-05-19,12326.050289112416
2026-05-20,12273.207749813551
2026-05-21,12312.619754967436
2026-05-22,12363.645660318185
2026-05-26,12322.840533762921
2026-05-27,12259.077009569382
2026-05-28,12259.990005109614
2026-05-29,12300.060193225449
2026-06-01,12176.521890578993
2026-06-02,12129.964768318487
2026-06-03,12054.284698333899
2026-06-04,12207.441867710972
2026-06-05,11914.593927181984
2026-06-08,11899.447807177834
2026-06-09,11895.848650032203
2026-06-10,11855.08160901015
2026-06-11,11769.589363744115
2026-06-12,11871.35301871384
2026-06-15,11717.394792126037
2026-06-16,11766.120006062987
2026-06-17,11623.462076195274
2026-06-18,11523.70255284713
2026-06-22,11583.838930376842
2026-06-23,11525.084442414052
2026-06-24,11501.359787983953
2026-06-25,11550.410735680796
2026-06-26,11587.849773572836
2026-06-29,11582.344003322933
2026-06-30,11531.70037761586
2026-07-01,11441.865089256517
2026-07-02,11552.511694210378
2026-07-06,11552.37732411961
2026-07-07,11608.731496313247
2026-07-08,11509.371246450464
2026-07-09,11488.431867170186
2026-07-10,11570.41236087376
2026-07-13,11596.175188595182
2026-07-14,11601.123863265515
2026-07-15,11668.52667370004
2026-07-16,11724.444789740852
2026-07-17,11707.077032892868
2026-07-20,11703.692109711777
2026-07-21,11788.060283270095
2026-07-22,11799.17051467659
2026-07-23,11878.16817217674
2026-07-24,11912.505335040854
2026-07-27,11698.255361848025
2026-07-28,11715.140297824079
2026-07-29,11639.917063373503
2026-07-30,11723.123018485883
2026-07-31,11819.58449910704
2026-08-03,12068.699300613069
2026-08-04,12020.483972219798
2026-08-05,11905.27866313961
2026-08-06,11944.12181635943
2026-08-07,12065.059500844145
2026-08-10,12153.889271461745
2026-08-11,12204.31639188328
2026-08-12,12211.644868829235
2026-08-13,12230.567511682722
2026-08-14,12247.917134935411
2026-08-17,12244.680000430739
2026-08-18,12346.178636255143
2026-08-19,12362.193736061452
2026-08-20,12233.409162480624
2026-08-21,12111.65242944835
2026-08-24,12085.03368984788
2026-08-25,12077.272191047443
2026-08-26,12029.79667704137
2026-08-27,12046.717489664718
2026-08-28,12147.56741751125
