date,ticker,sector,weight,cnn_score,cnn_rating,signal
2026-08-18,NVDA,Tech,0.1,54.49,neutral,INVEST
2026-08-18,AAPL,Tech,0.1,54.49,neutral,INVEST
2026-08-18,ABBV,Healthcare,0.1,54.49,neutral,INVEST
2026-08-18,JNJ,Healthcare,0.1,54.49,neutral,INVEST
2026-08-18,AEP,Utilities,0.1,54.49,neutral,INVEST
2026-08-18,SO,Utilities,0.1,54.49,neutral,INVEST
2026-08-18,CVX,Commodities,0.1,54.49,neutral,INVEST
2026-08-18,COP,Commodities,0.1,54.49,neutral,INVEST
2026-08-18,GS,Finance,0.1,54.49,neutral,INVEST
2026-08-18,JPM,Finance,0.1,54.49,neutral,INVEST
